date,meantemperature
36526,5.7
36527,6.2
36528,6.2
36529,4.3
36530,4.8
36531,6.2
36532,5.8
36533,5.9
36534,4.8
36535,5.3
36536,6.3
36537,4.4
36538,1.2
36539,-1.1
36540,0
36541,5.6
36542,6.3
36543,2.4
36544,2.8
36545,4.2
36546,-0.2
36547,0.3
36548,-2
36549,0.2
36550,0.8
36551,2.8
36552,4.3
36553,1.5
36554,4.4
36555,-0.9
36556,-0.5
36557,1.4
36558,2.2
36559,0.7
36560,6.6
36561,7.5
36562,6.3
36563,5.1
36564,2.2
36565,2.4
36566,5.5
36567,5.3
36568,4.3
36569,1.4
36570,-1.2
36571,2.6
36572,1.7
36573,0.3
36574,0.1
36575,-1
36576,-2.1
36577,0.1
36578,1.6
36579,2.7
36580,3.7
36581,2.6
36582,5.7
36583,4.6
36584,5
36585,4.7
36586,3.3
36587,-0.6
36588,1.2
36589,-1.7
36590,-1.2
36591,5.3
36592,3.5
36593,2.1
36594,0.9
36595,-1.1
36596,2.4
36597,2.8
36598,5.4
36599,0.8
36600,-1
36601,0.3
36602,3.6
36603,4.7
36604,4.4
36605,6.1
36606,3.4
36607,2.4
36608,0.7
36609,1.3
36610,1.6
36611,3.9
36612,4.5
36613,3.3
36614,5.2
36615,5.1
36616,5.2
36617,4
36618,3
36619,1.7
36620,0.8
36621,-0.1
36622,5.2
36623,6.8
36624,5.6
36625,5
36626,4
36627,5.1
36628,6.8
36629,7.2
36630,4.6
36631,4.4
36632,4.8
36633,6.5
36634,6.3
36635,9
36636,9.7
36637,8.3
36638,9.1
36639,6.7
36640,7.1
36641,6.4
36642,7.6
36643,9.3
36644,14.3
36645,20.7
36646,14.6
36647,13.4
36648,9.4
36649,8.6
36650,8.6
36651,9.5
36652,9.6
36653,10.5
36654,14.8
36655,13.9
36656,10.3
36657,10.1
36658,10.8
36659,12.6
36660,14.3
36661,13.4
36662,15.1
36663,13.3
36664,9.2
36665,8.3
36666,7.7
36667,8.6
36668,8.9
36669,10.2
36670,9.4
36671,10.1
36672,10
36673,10.4
36674,9
36675,9.3
36676,7.6
36677,8
36678,8.5
36679,8.1
36680,7.6
36681,8.6
