date,close
01-Jan-00,5.7
02-Jan-00,6.2
03-Jan-00,6.2
04-Jan-00,4.3
05-Jan-00,4.8
06-Jan-00,6.2
07-Jan-00,5.8
08-Jan-00,5.9
09-Jan-00,4.8
10-Jan-00,5.3
11-Jan-00,6.3
12-Jan-00,4.4
13-Jan-00,1.2
14-Jan-00,-1.1
15-Jan-00,0
16-Jan-00,5.6
17-Jan-00,6.3
18-Jan-00,2.4
19-Jan-00,2.8
20-Jan-00,4.2
21-Jan-00,-0.2
22-Jan-00,0.3
23-Jan-00,-2
24-Jan-00,0.2
25-Jan-00,0.8
26-Jan-00,2.8
27-Jan-00,4.3
28-Jan-00,1.5
29-Jan-00,4.4
30-Jan-00,-0.9
31-Jan-00,-0.5
01-Feb-00,1.4
02-Feb-00,2.2
03-Feb-00,0.7
04-Feb-00,6.6
05-Feb-00,7.5
06-Feb-00,6.3
07-Feb-00,5.1
08-Feb-00,2.2
09-Feb-00,2.4
10-Feb-00,5.5
11-Feb-00,5.3
12-Feb-00,4.3
13-Feb-00,1.4
14-Feb-00,-1.2
15-Feb-00,2.6
16-Feb-00,1.7
17-Feb-00,0.3
18-Feb-00,0.1
19-Feb-00,-1
20-Feb-00,-2.1
21-Feb-00,0.1
22-Feb-00,1.6
23-Feb-00,2.7
24-Feb-00,3.7
25-Feb-00,2.6
26-Feb-00,5.7
27-Feb-00,4.6
28-Feb-00,5
29-Feb-00,4.7
01-Mrz-00,3.3
02-Mrz-00,-0.6
03-Mrz-00,1.2
04-Mrz-00,-1.7
05-Mrz-00,-1.2
06-Mrz-00,5.3
07-Mrz-00,3.5
08-Mrz-00,2.1
09-Mrz-00,0.9
10-Mrz-00,-1.1
11-Mrz-00,2.4
12-Mrz-00,2.8
13-Mrz-00,5.4
14-Mrz-00,0.8
15-Mrz-00,-1
16-Mrz-00,0.3
17-Mrz-00,3.6
18-Mrz-00,4.7
19-Mrz-00,4.4
20-Mrz-00,6.1
21-Mrz-00,3.4
22-Mrz-00,2.4
23-Mrz-00,0.7
24-Mrz-00,1.3
25-Mrz-00,1.6
26-Mrz-00,3.9
27-Mrz-00,4.5
28-Mrz-00,3.3
29-Mrz-00,5.2
30-Mrz-00,5.1
31-Mrz-00,5.2
01-Apr-00,4
02-Apr-00,3
03-Apr-00,1.7
04-Apr-00,0.8
05-Apr-00,-0.1
06-Apr-00,5.2
07-Apr-00,6.8
08-Apr-00,5.6
09-Apr-00,5
10-Apr-00,4
11-Apr-00,5.1
12-Apr-00,6.8
13-Apr-00,7.2
14-Apr-00,4.6
15-Apr-00,4.4
16-Apr-00,4.8
17-Apr-00,6.5
18-Apr-00,6.3
19-Apr-00,9
20-Apr-00,9.7
21-Apr-00,8.3
